com.samsung.shealth.step_daily_trend,6221053,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
0c83b42a-ccae-4b3a-8fda-6bce54816cd1.binning_data.json,2022-02-12 21:02:05.124,2022-02-12 21:00:01.792,com.sec.android.app.shealth,0,23181,1.6659542,18658.98,937.11993,e7FCb+MfnB,com.sec.android.app.shealth,0c83b42a-ccae-4b3a-8fda-6bce54816cd1,1644624000000,
ae21047e-d011-4044-b8a1-2058be68080f.binning_data.json,2022-02-14 21:00:00.969,2022-02-14 21:00:00.969,com.sec.android.app.shealth,0,23833,1.7802516,19932.51,1026.77,e7FCb+MfnB,com.sec.android.app.shealth,ae21047e-d011-4044-b8a1-2058be68080f,1644796800000,
b0389017-ef4c-4b7e-8399-3203f5256d06.binning_data.json,2022-02-18 18:54:29.887,2022-02-17 22:58:39.518,com.sec.android.app.shealth,-2,7488,1.6634387,6082.11,308.34998,VfS0qUERdZ,com.sec.android.app.shealth,b0389017-ef4c-4b7e-8399-3203f5256d06,1645142400000,
c59f5f9a-114c-4809-8f9e-f57f9620d667.binning_data.json,2022-02-19 19:34:50.385,2022-02-19 04:46:40.306,com.sec.android.app.shealth,-2,12534,1.6618885,10188.72,512.21,VfS0qUERdZ,com.sec.android.app.shealth,c59f5f9a-114c-4809-8f9e-f57f9620d667,1645228800000,
dba522fb-5b7b-4b52-9132-ae7ae23ad944.binning_data.json,2022-02-20 19:36:48.990,2022-02-20 09:39:21.324,com.sec.android.app.shealth,-2,12105,1.984205,10651.7705,578.05,VfS0qUERdZ,com.sec.android.app.shealth,dba522fb-5b7b-4b52-9132-ae7ae23ad944,1645315200000,
6bd6f2eb-e79b-42d0-8c9d-f4f6d405eab0.binning_data.json,2022-02-22 21:00:01.176,2022-02-22 21:00:01.176,com.sec.android.app.shealth,0,13422,1.6832485,11091.19,573.31,e7FCb+MfnB,com.sec.android.app.shealth,6bd6f2eb-e79b-42d0-8c9d-f4f6d405eab0,1645488000000,
82f9bd49-4f2d-4c0e-ba6a-b63f166791f2.binning_data.json,2022-02-15 21:00:01.242,2022-02-15 21:00:01.242,com.sec.android.app.shealth,0,19114,1.7030991,15809.87,822.5399,e7FCb+MfnB,com.sec.android.app.shealth,82f9bd49-4f2d-4c0e-ba6a-b63f166791f2,1644883200000,
dd3ba336-0092-41ef-9f01-9e530f563cb5.binning_data.json,2022-02-22 19:17:41.304,2022-02-21 23:38:57.399,com.sec.android.app.shealth,-2,13422,1.6832485,11091.19,573.31,VfS0qUERdZ,com.sec.android.app.shealth,dd3ba336-0092-41ef-9f01-9e530f563cb5,1645488000000,
7078263d-f4ed-4ce8-bd0c-f1a3d0d26bc7.binning_data.json,2022-02-21 20:42:08.513,2022-02-20 21:41:26.800,com.sec.android.app.shealth,-2,4241,1.9584867,3750.74,204.55,VfS0qUERdZ,com.sec.android.app.shealth,7078263d-f4ed-4ce8-bd0c-f1a3d0d26bc7,1645401600000,
5a7ef8d3-530d-4cd0-855d-64b1903dfd6c.binning_data.json,2022-02-25 21:00:01.878,2022-02-25 21:00:01.878,com.sec.android.app.shealth,0,7018,1.7552105,5829.73,297.19998,e7FCb+MfnB,com.sec.android.app.shealth,5a7ef8d3-530d-4cd0-855d-64b1903dfd6c,1645747200000,
604a2c0f-4426-46bf-8441-fb5ddb0e8171.binning_data.json,2022-02-17 21:00:01.081,2022-02-17 21:00:01.081,com.sec.android.app.shealth,0,7593,2.0856552,6846.79,383.71,e7FCb+MfnB,com.sec.android.app.shealth,604a2c0f-4426-46bf-8441-fb5ddb0e8171,1645056000000,
d8f0200b-248b-4782-af5f-ea4665328fc3.binning_data.json,2022-02-18 21:00:02.399,2022-02-18 21:00:02.399,com.sec.android.app.shealth,0,7488,1.6634387,6082.11,308.34998,e7FCb+MfnB,com.sec.android.app.shealth,d8f0200b-248b-4782-af5f-ea4665328fc3,1645142400000,
bdb79510-6f66-4c55-83ad-4f2675c24031.binning_data.json,2022-02-26 21:00:10.320,2022-02-23 22:30:30.780,com.sec.android.app.shealth,-2,7550,1.7450197,6266.18,319.47998,VfS0qUERdZ,com.sec.android.app.shealth,bdb79510-6f66-4c55-83ad-4f2675c24031,1645660800000,
791d07f0-01f2-4865-93e8-14f18d5c928b.binning_data.json,2022-02-28 21:00:04.155,2022-02-28 21:00:04.155,com.sec.android.app.shealth,0,9692,1.5702965,7769.06,397.82,e7FCb+MfnB,com.sec.android.app.shealth,791d07f0-01f2-4865-93e8-14f18d5c928b,1646006400000,
68338c47-b4ad-40c9-8bcb-2dcc727a1e34.binning_data.json,2022-02-23 16:30:34.442,2022-02-22 21:44:10.688,com.sec.android.app.shealth,-2,2560,1.639292,2049.5698,102.99999,VfS0qUERdZ,com.sec.android.app.shealth,68338c47-b4ad-40c9-8bcb-2dcc727a1e34,1645574400000,
c37d791c-11ac-4476-a817-c9776f25e925.binning_data.json,2022-02-27 20:11:01.274,2022-02-26 21:19:28.689,com.sec.android.app.shealth,-2,16021,1.5233952,12684.88,647.63995,VfS0qUERdZ,com.sec.android.app.shealth,c37d791c-11ac-4476-a817-c9776f25e925,1645920000000,
dda7af07-e7b7-435b-a1b8-afe6fe6fee4c.binning_data.json,2022-02-25 18:24:15.604,2022-02-24 21:17:11.794,com.sec.android.app.shealth,-2,7018,1.7552105,5829.73,297.19998,VfS0qUERdZ,com.sec.android.app.shealth,dda7af07-e7b7-435b-a1b8-afe6fe6fee4c,1645747200000,
