com.samsung.shealth.tracker.pedometer_day_summary,6221053,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
13035,75b6f088-8a1f-43a5-8d9c-0fd511dee867.binning_data.json,6593279,10000,42,2022-01-23 21:00:00.753,com.sec.android.app.shealth,2022-01-22 21:00:28.864,,1.5717353,10362.89,524.64996,12993,e7FCb+MfnB,com.sec.android.app.shealth,0,75b6f088-8a1f-43a5-8d9c-0fd511dee867.achievement.json,75b6f088-8a1f-43a5-8d9c-0fd511dee867,1642896000000,
8494,501dc952-d30b-45c7-9e2b-aeca27aa4eea.binning_data.json,3740493,10000,1768,2022-01-31 21:06:23.187,com.sec.android.app.shealth,2022-01-31 21:06:23.187,,2.054213,7683.77,425.43,6726,e7FCb+MfnB,com.sec.android.app.shealth,0,501dc952-d30b-45c7-9e2b-aeca27aa4eea.achievement.json,501dc952-d30b-45c7-9e2b-aeca27aa4eea,1643587200000,
13441,99d9af21-06e6-490b-8323-8735d1c7662c.binning_data.json,6331231,10000,1458,2022-01-29 21:00:01.072,com.sec.android.app.shealth,2022-01-29 21:00:01.072,,1.8026857,11413.22,604.79,11983,e7FCb+MfnB,com.sec.android.app.shealth,0,99d9af21-06e6-490b-8323-8735d1c7662c.achievement.json,99d9af21-06e6-490b-8323-8735d1c7662c,1643414400000,
4287,fea0353a-57ad-483d-9b28-2e9e0af24b74.binning_data.json,2009506,10000,72,2022-02-03 21:00:00.678,com.sec.android.app.shealth,2022-02-03 21:00:00.678,,1.7780937,3573.09,175.83,4215,e7FCb+MfnB,com.sec.android.app.shealth,0,fea0353a-57ad-483d-9b28-2e9e0af24b74.achievement.json,fea0353a-57ad-483d-9b28-2e9e0af24b74,1643846400000,
1194,b601c32b-9650-4edb-959a-a51a32aef3a1.binning_data.json,584823,10000,59,2022-02-02 21:00:01.337,com.sec.android.app.shealth,2022-02-02 21:00:01.337,,1.6955363,991.59,50.86,1135,e7FCb+MfnB,com.sec.android.app.shealth,0,b601c32b-9650-4edb-959a-a51a32aef3a1.achievement.json,b601c32b-9650-4edb-959a-a51a32aef3a1,1643760000000,
10153,b9535248-f6d9-4cda-8f70-a4ad2006be60.binning_data.json,4370551,10000,2198,2022-01-25 20:37:44.685,com.sec.android.app.shealth,2022-01-25 06:34:27.782,b9535248-f6d9-4cda-8f70-a4ad2006be60.source_info.json,2.0902145,9135.391,501.77,7955,VfS0qUERdZ,com.sec.android.app.shealth,0,b9535248-f6d9-4cda-8f70-a4ad2006be60.achievement.json,b9535248-f6d9-4cda-8f70-a4ad2006be60,1643068800000,
15352,9b58445b-2d51-4628-9ddf-c0b7909a57d8.binning_data.json,7165506,10000,2050,2022-01-27 17:37:35.594,com.sec.android.app.shealth,2022-01-26 21:43:25.438,9b58445b-2d51-4628-9ddf-c0b7909a57d8.source_info.json,1.8567842,13304.8,717.01996,13302,VfS0qUERdZ,com.sec.android.app.shealth,0,9b58445b-2d51-4628-9ddf-c0b7909a57d8.achievement.json,9b58445b-2d51-4628-9ddf-c0b7909a57d8,1643241600000,
10391,d59e1065-8061-4b4c-81f3-ffd2c7527f36.binning_data.json,4848577,10000,570,2022-02-01 21:00:02.326,com.sec.android.app.shealth,2022-02-01 21:00:02.326,,1.7817104,8638.76,442.66995,9821,e7FCb+MfnB,com.sec.android.app.shealth,0,d59e1065-8061-4b4c-81f3-ffd2c7527f36.achievement.json,d59e1065-8061-4b4c-81f3-ffd2c7527f36,1643673600000,
17471,368b9079-9748-4f9e-9333-9867fb44b7a9.binning_data.json,8172542,10000,575,2022-02-06 21:00:01.042,com.sec.android.app.shealth,2022-02-06 21:00:01.042,,1.751921,14317.65,721.89996,16896,e7FCb+MfnB,com.sec.android.app.shealth,0,368b9079-9748-4f9e-9333-9867fb44b7a9.achievement.json,368b9079-9748-4f9e-9333-9867fb44b7a9,1644105600000,
16672,2b8c345c-724d-494d-8158-61d108a12240.binning_data.json,7932527,10000,1600,2022-02-05 21:00:01.389,com.sec.android.app.shealth,2022-02-05 21:00:01.389,,1.7612431,13971.11,734.99,15072,e7FCb+MfnB,com.sec.android.app.shealth,0,2b8c345c-724d-494d-8158-61d108a12240.achievement.json,2b8c345c-724d-494d-8158-61d108a12240,1644019200000,
4338,7654a034-55da-4ea7-a248-b7bc72782a23.binning_data.json,1944309,10000,617,2022-01-26 20:29:46.069,com.sec.android.app.shealth,2022-01-25 21:36:43.711,7654a034-55da-4ea7-a248-b7bc72782a23.source_info.json,1.9458371,3783.31,202.26999,3721,VfS0qUERdZ,com.sec.android.app.shealth,0,7654a034-55da-4ea7-a248-b7bc72782a23.achievement.json,7654a034-55da-4ea7-a248-b7bc72782a23,1643155200000,
17721,f2a1d140-a1e4-40df-abb0-b0923392abe0.binning_data.json,8481034,10000,623,2022-02-09 21:00:00.828,com.sec.android.app.shealth,2022-02-09 21:00:00.828,,1.7151033,14545.85,735.18,17098,e7FCb+MfnB,com.sec.android.app.shealth,0,f2a1d140-a1e4-40df-abb0-b0923392abe0.achievement.json,f2a1d140-a1e4-40df-abb0-b0923392abe0,1644364800000,
10261,b513a4bb-7440-4957-9114-4271c5a53670.binning_data.json,4607200,10000,875,2022-02-04 21:00:01.297,com.sec.android.app.shealth,2022-02-04 21:00:01.297,,1.8871548,8694.5,445.86,9386,e7FCb+MfnB,com.sec.android.app.shealth,0,b513a4bb-7440-4957-9114-4271c5a53670.achievement.json,b513a4bb-7440-4957-9114-4271c5a53670,1643932800000,
10683,df297768-8511-48bb-a7ea-33e671efe9af.binning_data.json,5614432,10000,72,2022-01-30 18:53:35.244,com.sec.android.app.shealth,2022-01-29 21:02:12.913,df297768-8511-48bb-a7ea-33e671efe9af.source_info.json,1.501035,8427.46,432.84998,10611,VfS0qUERdZ,com.sec.android.app.shealth,0,df297768-8511-48bb-a7ea-33e671efe9af.achievement.json,df297768-8511-48bb-a7ea-33e671efe9af,1643500800000,
13441,eb203c27-a1b7-4a82-bbe8-2b4160fa26b8.binning_data.json,6331231,10000,1458,2022-01-29 19:21:58.600,com.sec.android.app.shealth,2022-01-28 21:32:40.089,eb203c27-a1b7-4a82-bbe8-2b4160fa26b8.source_info.json,1.8026857,11413.22,604.79,11983,VfS0qUERdZ,com.sec.android.app.shealth,0,eb203c27-a1b7-4a82-bbe8-2b4160fa26b8.achievement.json,eb203c27-a1b7-4a82-bbe8-2b4160fa26b8,1643414400000,
18644,7d750cb8-8113-4724-8765-f04b995499cf.binning_data.json,8489214,10000,2363,2022-01-28 18:19:51.816,com.sec.android.app.shealth,2022-01-27 21:25:00.918,7d750cb8-8113-4724-8765-f04b995499cf.source_info.json,1.8968456,16102.73,860.02997,16281,VfS0qUERdZ,com.sec.android.app.shealth,0,7d750cb8-8113-4724-8765-f04b995499cf.achievement.json,7d750cb8-8113-4724-8765-f04b995499cf,1643328000000,
12026,78e42693-7976-496c-a29d-8ee6c719f149.binning_data.json,5951142,10000,36,2022-02-08 21:00:01.206,com.sec.android.app.shealth,2022-02-08 21:00:01.206,,1.61429,9606.869,486.14996,11990,e7FCb+MfnB,com.sec.android.app.shealth,0,78e42693-7976-496c-a29d-8ee6c719f149.achievement.json,78e42693-7976-496c-a29d-8ee6c719f149,1644278400000,
1194,4c7cbca2-82d7-4da6-91ab-bc9b4ab13bc0.binning_data.json,584823,10000,59,2022-02-02 17:28:37.661,com.sec.android.app.shealth,2022-02-02 08:55:04.276,4c7cbca2-82d7-4da6-91ab-bc9b4ab13bc0.source_info.json,1.6955363,991.59,50.86,1135,VfS0qUERdZ,com.sec.android.app.shealth,0,4c7cbca2-82d7-4da6-91ab-bc9b4ab13bc0.achievement.json,4c7cbca2-82d7-4da6-91ab-bc9b4ab13bc0,1643760000000,
23181,a175551e-656e-4189-b9ff-e3e0f2ebd504.binning_data.json,11200176,10000,220,2022-02-12 21:02:05.102,com.sec.android.app.shealth,2022-02-12 21:00:01.757,,1.6659542,18658.98,937.11993,22961,e7FCb+MfnB,com.sec.android.app.shealth,0,a175551e-656e-4189-b9ff-e3e0f2ebd504.achievement.json,a175551e-656e-4189-b9ff-e3e0f2ebd504,1644624000000,
11582,a6357a54-76c1-4813-8bf2-802bf0a5cc94.binning_data.json,5387478,10000,680,2022-02-07 21:00:00.917,com.sec.android.app.shealth,2022-02-07 21:00:00.917,,1.802424,9710.52,495.62,10902,e7FCb+MfnB,com.sec.android.app.shealth,0,a6357a54-76c1-4813-8bf2-802bf0a5cc94.achievement.json,a6357a54-76c1-4813-8bf2-802bf0a5cc94,1644192000000,
10391,fdcd0ced-d5ce-4bb6-8b8b-4123db5a8dda.binning_data.json,4848577,10000,570,2022-02-01 19:58:19.974,com.sec.android.app.shealth,2022-01-31 22:37:32.660,fdcd0ced-d5ce-4bb6-8b8b-4123db5a8dda.source_info.json,1.7817104,8638.76,442.66995,9821,VfS0qUERdZ,com.sec.android.app.shealth,0,fdcd0ced-d5ce-4bb6-8b8b-4123db5a8dda.achievement.json,fdcd0ced-d5ce-4bb6-8b8b-4123db5a8dda,1643673600000,
26022,0007098e-1c01-4a82-92f2-a21e62ac09d8.binning_data.json,12656382,10000,119,2022-02-11 21:00:01.402,com.sec.android.app.shealth,2022-02-11 21:00:01.402,,1.65012,20884.55,1049.97,25903,e7FCb+MfnB,com.sec.android.app.shealth,0,0007098e-1c01-4a82-92f2-a21e62ac09d8.achievement.json,0007098e-1c01-4a82-92f2-a21e62ac09d8,1644537600000,
8494,97f467b5-225a-4c7f-b248-109bd951cb0a.binning_data.json,3740493,10000,1768,2022-01-31 16:09:24.582,com.sec.android.app.shealth,2022-01-30 22:36:45.961,97f467b5-225a-4c7f-b248-109bd951cb0a.source_info.json,2.054213,7683.77,425.43,6726,VfS0qUERdZ,com.sec.android.app.shealth,0,97f467b5-225a-4c7f-b248-109bd951cb0a.achievement.json,97f467b5-225a-4c7f-b248-109bd951cb0a,1643587200000,
19114,5cd75843-14a9-490b-ad2a-862316083018.binning_data.json,9283000,10000,1062,2022-02-15 21:00:01.146,com.sec.android.app.shealth,2022-02-15 21:00:01.146,,1.7030991,15809.87,822.5399,18052,e7FCb+MfnB,com.sec.android.app.shealth,0,5cd75843-14a9-490b-ad2a-862316083018.achievement.json,5cd75843-14a9-490b-ad2a-862316083018,1644883200000,
23321,dc3344a6-8f77-46c8-802a-136ef84f6b54.binning_data.json,11291363,10000,741,2022-02-10 21:00:01.053,com.sec.android.app.shealth,2022-02-10 21:00:01.053,,1.6892549,19073.99,969.50995,22580,e7FCb+MfnB,com.sec.android.app.shealth,0,dc3344a6-8f77-46c8-802a-136ef84f6b54.achievement.json,dc3344a6-8f77-46c8-802a-136ef84f6b54,1644451200000,
7488,b5e3890b-0557-4f48-b800-087a9b8b4611.binning_data.json,3656347,10000,107,2022-02-18 21:00:02.375,com.sec.android.app.shealth,2022-02-18 21:00:02.375,,1.6634387,6082.11,308.34998,7381,e7FCb+MfnB,com.sec.android.app.shealth,0,b5e3890b-0557-4f48-b800-087a9b8b4611.achievement.json,b5e3890b-0557-4f48-b800-087a9b8b4611,1645142400000,
10261,30072118-aed3-4e03-b9e5-a0b87df5e913.binning_data.json,4607200,10000,875,2022-02-04 20:18:17.331,com.sec.android.app.shealth,2022-02-03 21:49:34.030,30072118-aed3-4e03-b9e5-a0b87df5e913.source_info.json,1.8871548,8694.5,445.86,9386,VfS0qUERdZ,com.sec.android.app.shealth,0,30072118-aed3-4e03-b9e5-a0b87df5e913.achievement.json,30072118-aed3-4e03-b9e5-a0b87df5e913,1643932800000,
23833,5c8285fa-9b71-491c-bf8f-65953c326d45.binning_data.json,11196456,10000,1356,2022-02-14 21:00:00.949,com.sec.android.app.shealth,2022-02-14 21:00:00.949,,1.7802516,19932.51,1026.77,22477,e7FCb+MfnB,com.sec.android.app.shealth,0,5c8285fa-9b71-491c-bf8f-65953c326d45.achievement.json,5c8285fa-9b71-491c-bf8f-65953c326d45,1644796800000,
4241,20fa4610-bfeb-467a-97e7-ef84315c092d.binning_data.json,1915121,10000,721,2022-02-21 21:00:00.765,com.sec.android.app.shealth,2022-02-21 21:00:00.765,,1.9584867,3750.74,204.55,3520,e7FCb+MfnB,com.sec.android.app.shealth,0,20fa4610-bfeb-467a-97e7-ef84315c092d.achievement.json,20fa4610-bfeb-467a-97e7-ef84315c092d,1645401600000,
4287,79ba02d3-2cb1-4f03-b111-a0da57755c59.binning_data.json,2009506,10000,72,2022-02-03 20:32:06.169,com.sec.android.app.shealth,2022-02-03 06:23:13.660,79ba02d3-2cb1-4f03-b111-a0da57755c59.source_info.json,1.7780937,3573.09,175.83,4215,VfS0qUERdZ,com.sec.android.app.shealth,0,79ba02d3-2cb1-4f03-b111-a0da57755c59.achievement.json,79ba02d3-2cb1-4f03-b111-a0da57755c59,1643846400000,
