com.samsung.shealth.activity.day_summary,6221053,3
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
10683,6375276,90,0,2022-01-30 18:53:35.324,2022-01-29 21:00:00.408,-1,1374824,116,8481.017,435.60153,dda3db5f-0c9b-428f-92b0-f935d80aae2f.extra_data.json,e7FCb+MfnB,27398,com.sec.android.app.shealth,6347878,26700000,dda3db5f-0c9b-428f-92b0-f935d80aae2f,1643500800000,
17471,9901206,90,3881037,2022-02-06 18:39:54.395,2022-02-05 21:00:00.572,-1,5120671,182,26113.7,836.429,c53480b3-704b-4d7f-a1ce-d579bbeffe76.extra_data.json,e7FCb+MfnB,7874,com.sec.android.app.shealth,6012295,39000000,c53480b3-704b-4d7f-a1ce-d579bbeffe76,1644105600000,
11582,7311357,90,6101502,2022-02-07 18:58:52.414,2022-02-06 21:00:00.465,-1,1176000,134,30234.018,720.6283,e55a8f25-d214-4a68-9514-27dc4c091b50.extra_data.json,e7FCb+MfnB,8800,com.sec.android.app.shealth,1201055,36360000,e55a8f25-d214-4a68-9514-27dc4c091b50,1644192000000,
12026,6740463,90,0,2022-02-08 20:59:00.088,2022-02-07 21:00:00.413,-1,3784000,124,9667.363,489.30756,8909a22b-344f-4be2-9cbb-be9640c8efae.extra_data.json,e7FCb+MfnB,6011,com.sec.android.app.shealth,6734452,27540000,8909a22b-344f-4be2-9cbb-be9640c8efae,1644278400000,
0,0,90,0,2022-01-15 10:11:20.969,2022-01-15 10:11:20.969,-1,0,0,0.0,0.0,73aaed74-0679-4274-b3fb-7270407e0d18.extra_data.json,e7FCb+MfnB,0,com.sec.android.app.shealth,0,-1,73aaed74-0679-4274-b3fb-7270407e0d18,1640131200000,
16672,10137848,90,5490763,2022-02-05 18:28:01.123,2022-02-04 21:00:00.492,-1,4068000,186,34507.258,946.1952,c3e0e760-8da9-4162-aeee-03239b0d2839.extra_data.json,e7FCb+MfnB,21510,com.sec.android.app.shealth,4625575,41460000,c3e0e760-8da9-4162-aeee-03239b0d2839,1644019200000,
26206,12944012,90,10746812,2022-02-13 19:35:01.539,2022-02-12 21:00:00.551,-1,961000,237,52560.25,1255.9044,6d7a1b13-20e2-401b-8031-385a355a922a.extra_data.json,e7FCb+MfnB,52528,com.sec.android.app.shealth,2144672,34680000,6d7a1b13-20e2-401b-8031-385a355a922a,1644710400000,
23181,13277668,90,0,2022-02-12 21:02:05.343,2022-02-11 21:00:00.421,-1,1714000,245,18877.576,947.8397,0ace687f-b0a3-40a2-ae3d-66da3bad7d1d.extra_data.json,e7FCb+MfnB,75902,com.sec.android.app.shealth,13201766,34200000,0ace687f-b0a3-40a2-ae3d-66da3bad7d1d,1644624000000,
23833,12439254,90,8090362,2022-02-14 21:00:00.663,2022-02-13 21:00:00.555,-1,817000,228,35638.887,976.16016,51460f68-6c51-4917-a6c3-95cc40ffb30a.extra_data.json,e7FCb+MfnB,112889,com.sec.android.app.shealth,4236003,33120000,51460f68-6c51-4917-a6c3-95cc40ffb30a,1644796800000,
0,0,90,0,2022-01-15 10:11:20.996,2022-01-15 10:11:20.996,-1,0,0,0.0,0.0,22d77c2b-7568-4109-b715-2616f72036e9.extra_data.json,e7FCb+MfnB,0,com.sec.android.app.shealth,0,-1,22d77c2b-7568-4109-b715-2616f72036e9,1640217600000,
0,0,90,0,2022-01-15 10:11:21.160,2022-01-15 10:11:21.160,-1,0,0,0.0,0.0,739fac4b-c4b9-4fde-b0f6-a78c12cfbfdb.extra_data.json,e7FCb+MfnB,0,com.sec.android.app.shealth,0,-1,739fac4b-c4b9-4fde-b0f6-a78c12cfbfdb,1640649600000,
12534,7476060,90,0,2022-02-19 19:34:50.442,2022-02-18 21:00:01.687,-1,2344000,137,10200.163,512.7745,8f897730-d10c-4427-9e18-2ddb8f3c0935.extra_data.json,e7FCb+MfnB,125600,com.sec.android.app.shealth,7350460,27960000,8f897730-d10c-4427-9e18-2ddb8f3c0935,1645228800000,
26022,14489245,90,0,2022-02-11 20:59:41.247,2022-02-10 21:00:00.455,-1,1842000,266,21111.953,1061.5532,4e86220f-824c-4cd5-9616-ed71fbe202b3.extra_data.json,e7FCb+MfnB,30500,com.sec.android.app.shealth,14458745,24240000,4e86220f-824c-4cd5-9616-ed71fbe202b3,1644537600000,
0,0,90,0,2022-01-15 10:11:21.469,2022-01-15 10:11:21.469,-1,0,0,0.0,0.0,21d5a28d-0cb3-43e9-876d-dc2cdf229e70.extra_data.json,e7FCb+MfnB,0,com.sec.android.app.shealth,0,-1,21d5a28d-0cb3-43e9-876d-dc2cdf229e70,1641168000000,
0,0,90,0,2022-01-15 10:11:21.208,2022-01-15 10:11:21.208,-1,0,0,0.0,0.0,0535ce21-82d9-47d2-bb81-c5f1ce7e53c3.extra_data.json,e7FCb+MfnB,0,com.sec.android.app.shealth,0,-1,0535ce21-82d9-47d2-bb81-c5f1ce7e53c3,1640736000000,
12105,7680684,90,7291452,2022-02-20 19:36:49.121,2022-02-19 21:00:02.111,-1,2634000,141,36507.098,823.1108,bebf2aa2-75dc-4000-b585-96a55327c7cf.extra_data.json,e7FCb+MfnB,5697,com.sec.android.app.shealth,383535,45420000,bebf2aa2-75dc-4000-b585-96a55327c7cf,1645315200000,
7488,4190208,90,0,2022-02-18 18:54:29.980,2022-02-17 21:00:00.410,-1,420000,76,6082.1084,308.3501,a56346e0-21ed-486f-bc8e-80d3cd741ed7.extra_data.json,e7FCb+MfnB,42540,com.sec.android.app.shealth,4147668,39660000,a56346e0-21ed-486f-bc8e-80d3cd741ed7,1645142400000,
7593,4064705,90,3336538,2022-02-17 20:53:49.593,2022-02-16 21:00:00.379,-1,1681000,73,20115.674,474.1802,9190a7cd-965b-40ac-97c8-c9ef0a89dc72.extra_data.json,e7FCb+MfnB,17268,com.sec.android.app.shealth,710899,28860000,9190a7cd-965b-40ac-97c8-c9ef0a89dc72,1645056000000,
0,0,90,0,2022-01-15 10:11:21.648,2022-01-15 10:11:21.648,-1,0,0,0.0,0.0,e93843a8-8541-4e8b-8a85-8d25d0d93eb9.extra_data.json,e7FCb+MfnB,0,com.sec.android.app.shealth,0,-1,e93843a8-8541-4e8b-8a85-8d25d0d93eb9,1641686400000,
7018,4396161,90,1887220,2022-02-25 21:00:01.442,2022-02-24 21:00:00.558,-1,673000,80,12374.1045,377.07068,0ae277ec-010b-4a83-820f-135aebdba69f.extra_data.json,e7FCb+MfnB,17991,com.sec.android.app.shealth,2490950,26820000,0ae277ec-010b-4a83-820f-135aebdba69f,1645747200000,
0,0,90,0,2022-01-15 10:11:21.499,2022-01-15 10:11:21.499,-1,0,0,0.0,0.0,e963cf2a-fe7b-46f2-a078-a4d408d3c263.extra_data.json,e7FCb+MfnB,0,com.sec.android.app.shealth,0,-1,e963cf2a-fe7b-46f2-a078-a4d408d3c263,1641254400000,
7550,4976048,90,2756325,2022-02-24 21:00:00.792,2022-02-23 21:00:01.215,-1,540000,91,15796.142,435.24988,dbd14bb3-55d4-4e4c-84db-423aa60a4505.extra_data.json,e7FCb+MfnB,6377,com.sec.android.app.shealth,2213346,31560000,dbd14bb3-55d4-4e4c-84db-423aa60a4505,1645660800000,
12657,7692891,90,0,2022-02-26 20:54:22.444,2022-02-25 21:00:01.097,-1,1052000,141,10100.33,511.6978,feeea359-c196-4e29-b578-823953610f67.extra_data.json,e7FCb+MfnB,20214,com.sec.android.app.shealth,7672677,36120000,feeea359-c196-4e29-b578-823953610f67,1645833600000,
40005,24227884,90,0,2022-01-16 20:59:20.449,2022-01-15 21:00:01.094,-1,2280000,447,32150.074,1448.476,384b1423-387f-41a8-a699-8ea09eb0f1e3.extra_data.json,e7FCb+MfnB,148701,com.sec.android.app.shealth,24079183,30000000,384b1423-387f-41a8-a699-8ea09eb0f1e3,1642291200000,
