com.samsung.shealth.calories_burned.details,6221053,2
active_calories_goal,version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,b6317e03-648e-4816-847b-475131e1b53f.extra_data.json,0.0,12444391,1454.1597,2022-05-06 21:00:01.029,2022-05-05 21:00:00.350,1303.7621,e7FCb+MfnB,com.sec.android.app.shealth,b6317e03-648e-4816-847b-475131e1b53f,1651795200000,
,,42031ef9-4af4-4104-b815-2150e998e6a4.extra_data.json,0.0,13277668,1437.7754,2022-02-12 21:02:05.360,2022-02-11 21:00:00.439,947.83923,e7FCb+MfnB,com.sec.android.app.shealth,42031ef9-4af4-4104-b815-2150e998e6a4,1644624000000,
,,4852173f-df50-4956-a747-39a055918cbf.extra_data.json,0.0,6626183,1568.5608,2022-05-12 21:00:00.750,2022-05-11 21:00:00.610,471.47034,e7FCb+MfnB,com.sec.android.app.shealth,4852173f-df50-4956-a747-39a055918cbf,1652313600000,
,,17d9fda0-6102-4b00-a43c-32fa35b65b13.extra_data.json,0.0,5822132,1584.3706,2022-02-01 21:00:02.069,2022-01-31 21:06:22.658,474.3205,e7FCb+MfnB,com.sec.android.app.shealth,17d9fda0-6102-4b00-a43c-32fa35b65b13,1643673600000,
,,09be6275-5990-4ed2-b143-2ff3af6ad4f1.extra_data.json,0.0,4190208,1616.4585,2022-02-18 21:00:01.955,2022-02-17 21:00:00.457,308.3501,e7FCb+MfnB,com.sec.android.app.shealth,09be6275-5990-4ed2-b143-2ff3af6ad4f1,1645142400000,
,,c44491c7-e30e-4996-b2b4-30c1d131206a.extra_data.json,0.0,6418329,1572.6478,2022-05-18 21:00:00.805,2022-05-17 21:00:00.655,445.2973,e7FCb+MfnB,com.sec.android.app.shealth,c44491c7-e30e-4996-b2b4-30c1d131206a,1652832000000,
,,f6f72df4-54a9-404f-baee-46dc762687a0.extra_data.json,0.0,7311357,1555.0885,2022-02-07 21:00:00.644,2022-02-06 21:00:00.505,720.62836,e7FCb+MfnB,com.sec.android.app.shealth,f6f72df4-54a9-404f-baee-46dc762687a0,1644192000000,
,,10edd37a-76c8-4496-8f7a-095cb5827085.extra_data.json,0.0,12121727,1460.5042,2022-05-24 21:04:23.235,2022-05-23 21:00:02.113,852.69635,e7FCb+MfnB,com.sec.android.app.shealth,10edd37a-76c8-4496-8f7a-095cb5827085,1653350400000,
,,04f280c1-9d9a-4d35-859d-4f52fb326a2e.extra_data.json,0.0,12944012,1444.3358,2022-02-13 21:00:00.885,2022-02-12 21:00:00.600,1255.9044,e7FCb+MfnB,com.sec.android.app.shealth,04f280c1-9d9a-4d35-859d-4f52fb326a2e,1644710400000,
,,de74c210-decf-493e-a432-996a967f3899.extra_data.json,0.0,4976048,1601.0068,2022-02-24 21:00:00.844,2022-02-23 21:00:01.249,435.24988,e7FCb+MfnB,com.sec.android.app.shealth,de74c210-decf-493e-a432-996a967f3899,1645660800000,
,,2a665de8-154d-4d40-86bc-973e5c14c9ca.extra_data.json,0.0,13583340,1431.765,2022-05-30 21:00:00.782,2022-05-29 21:00:00.573,942.62,e7FCb+MfnB,com.sec.android.app.shealth,2a665de8-154d-4d40-86bc-973e5c14c9ca,1653868800000,
,,7747970a-5e09-4b5e-af0d-6ddad7443f5d.extra_data.json,0.0,7476060,1551.85,2022-02-19 21:00:02.261,2022-02-18 21:00:01.722,512.7745,e7FCb+MfnB,com.sec.android.app.shealth,7747970a-5e09-4b5e-af0d-6ddad7443f5d,1645228800000,
,,2e60c71b-a344-4ebc-9f5d-1362780ae22e.extra_data.json,0.0,4765329,1605.1501,2022-03-02 21:00:00.863,2022-03-01 21:00:01.099,324.23697,e7FCb+MfnB,com.sec.android.app.shealth,2e60c71b-a344-4ebc-9f5d-1362780ae22e,1646179200000,
,,94b17ca4-9c1b-48d5-8042-7be7737bfa22.extra_data.json,0.0,11083108,1480.9261,2022-06-05 21:00:01.030,2022-06-04 21:00:00.722,789.6817,e7FCb+MfnB,com.sec.android.app.shealth,94b17ca4-9c1b-48d5-8042-7be7737bfa22,1654387200000,
,,d61d6660-7ceb-49dc-b4c4-ea3d1e65a7ff.extra_data.json,0.0,4396161,1612.4089,2022-02-25 21:00:01.502,2022-02-24 21:00:00.577,377.07068,e7FCb+MfnB,com.sec.android.app.shealth,d61d6660-7ceb-49dc-b4c4-ea3d1e65a7ff,1645747200000,
,,729067f1-0905-4ac9-bf36-3109ca21a588.extra_data.json,0.0,5047790,1599.5961,2022-03-08 21:00:00.890,2022-03-07 21:00:00.607,344.01,e7FCb+MfnB,com.sec.android.app.shealth,729067f1-0905-4ac9-bf36-3109ca21a588,1646697600000,
,,88ac3331-dd73-40e6-bbd0-85d80f9aeb41.extra_data.json,0.0,4220386,1615.8651,2022-03-03 21:03:27.924,2022-03-02 21:00:00.648,280.53995,e7FCb+MfnB,com.sec.android.app.shealth,88ac3331-dd73-40e6-bbd0-85d80f9aeb41,1646265600000,
,,104dd2c3-5dab-4127-b311-54374e511e70.extra_data.json,0.0,5697740,1586.8164,2022-06-11 21:00:00.719,2022-06-10 21:00:00.393,537.2973,e7FCb+MfnB,com.sec.android.app.shealth,104dd2c3-5dab-4127-b311-54374e511e70,1654905600000,
,,b59b9ac2-6ad8-488c-a86c-d468305e2146.extra_data.json,0.0,9970559,1502.8016,2022-03-09 21:00:01.390,2022-03-08 21:00:00.589,674.9779,e7FCb+MfnB,com.sec.android.app.shealth,b59b9ac2-6ad8-488c-a86c-d468305e2146,1646784000000,
,,2d0a8902-4e29-43bc-a291-94f145a11866.extra_data.json,0.0,10402721,1494.3043,2022-03-14 21:00:02.491,2022-03-13 21:00:00.602,691.97754,e7FCb+MfnB,com.sec.android.app.shealth,2d0a8902-4e29-43bc-a291-94f145a11866,1647216000000,
