com.samsung.shealth.tracker.pedometer_step_count,6221053,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
51257,4,0,106,2022-07-18 09:03:00.000,,,2022-07-18 09:05:09.724,2022-07-18 09:03:00.642,106,1.635666,83.840004,4.0499997,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 09:04:00.000,a618b39d-279b-41fe-8ce2-a1789b894c9a,
58613,4,0,111,2022-07-18 07:35:00.000,,,2022-07-18 07:36:27.708,2022-07-18 07:35:23.122,111,1.480727,86.78993,4.439998,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:36:00.000,e3c46b8f-c230-4dc8-9fce-2c11c3591258,
26451,4,0,42,2022-07-18 09:10:00.000,,,2022-07-18 09:10:59.400,2022-07-18 09:10:30.331,42,1.1863159,31.379997,1.58,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 09:11:00.000,2c6ef217-8e71-46f1-93fb-3ec5e697ce54,
50692,4,0,98,2022-07-18 07:41:00.000,,,2022-07-18 07:41:59.538,2022-07-18 07:41:00.452,98,1.5104806,76.56998,3.889999,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:42:00.000,8917e4db-b5a7-4823-aea4-6b2fd80a4086,
24635,4,0,51,2022-07-18 10:56:00.000,,,2022-07-18 10:56:52.358,2022-07-18 10:56:31.026,51,1.735332,42.75,2.25,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 10:57:00.000,3b5dad3c-c936-4a19-9c6c-8749c9610d80,
35068,4,0,72,2022-07-18 07:47:00.000,,,2022-07-18 07:48:21.348,2022-07-18 07:47:05.777,72,1.6348186,57.33,2.8700001,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:48:00.000,c60586cd-e6a0-405e-a854-0c2cf574c87d,
60000,4,0,120,2022-07-18 05:52:00.000,,,2022-07-18 05:55:14.761,2022-07-18 05:55:14.761,120,1.5599998,93.6,4.8,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:53:00.000,ba7619f4-0eb8-4d7b-9291-da07eaf42d1f,
60000,4,0,121,2022-07-18 07:42:00.000,,,2022-07-18 07:43:07.331,2022-07-18 07:42:00.135,121,1.5729992,94.37996,4.8399982,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:43:00.000,e0ca6298-9166-4c81-97ba-1b959eb8a62c,
58222,4,0,109,2022-07-18 08:38:00.000,,,2022-07-18 08:38:59.356,2022-07-18 08:38:00.237,109,1.4602579,85.01993,4.3599973,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 08:39:00.000,3610f3d2-6a45-49d5-893c-ce378b85f683,
8860,4,0,23,2022-07-18 07:48:00.000,,,2022-07-18 07:48:21.463,2022-07-18 07:48:21.463,23,2.2222223,19.69,0.85,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:49:00.000,0438fbcf-4ce6-4e0c-9c11-5d5bd32927d5,
48992,4,0,95,2022-07-18 06:43:00.000,,,2022-07-18 06:44:50.501,2022-07-18 06:44:50.501,95,1.5277778,74.85,3.75,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 06:44:00.000,43f7060b-a77e-4ca8-aa53-df9615d9c3d6,
54156,4,0,103,2022-07-18 09:01:00.000,,,2022-07-18 09:01:59.575,2022-07-18 09:01:00.113,103,1.4849656,80.41995,4.0399976,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 09:02:00.000,6a005c16-2d30-4054-91ec-a58763b7ad1b,
60000,4,0,111,2022-07-18 08:39:00.000,,,2022-07-18 08:39:59.422,2022-07-18 08:39:00.075,111,1.4429988,86.579926,4.439997,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 08:40:00.000,44712cb6-cddc-4640-a2ca-9fecf8c899d1,
14093,4,0,30,2022-07-18 06:51:00.000,,,2022-07-18 06:51:25.162,2022-07-18 06:51:23.786,30,1.7071731,24.060001,1.15,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 06:52:00.000,23233afa-07f7-40ca-9e65-f0c52a06fa1b,
16116,4,0,27,2022-07-18 09:07:00.000,,,2022-07-18 09:07:17.784,2022-07-18 09:07:00.603,27,1.256443,20.25,1.08,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 09:08:00.000,5439c6e3-0182-45ae-a323-a103f52c8db5,
56520,4,0,104,2022-07-18 08:36:00.000,,,2022-07-18 08:36:59.513,2022-07-18 08:36:00.354,104,1.4309936,80.87994,4.1099977,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 08:37:00.000,ca42aab8-97dc-46b6-b638-641453adac6a,
59399,4,0,111,2022-07-18 09:02:00.000,,,2022-07-18 09:02:59.906,2022-07-18 09:02:00.163,111,1.457589,86.579926,4.439997,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 09:03:00.000,554e4a93-6945-4c79-a9e3-c0fb69177323,
57220,4,0,113,2022-07-18 07:34:00.000,,,2022-07-18 07:35:01.893,2022-07-18 07:35:01.893,113,1.5555556,89.01,4.52,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:35:00.000,b582ee8b-9885-45d1-a776-82f367e12511,
60000,4,0,120,2022-07-18 07:40:00.000,,,2022-07-18 07:40:59.839,2022-07-18 07:40:00.574,120,1.5599993,93.59996,4.7999983,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:41:00.000,3ba447e7-1f51-48ac-97ce-89a1de826870,
23354,4,0,44,2022-07-18 09:09:00.000,,,2022-07-18 09:09:49.869,2022-07-18 09:09:41.182,44,1.4704092,34.340008,1.7199994,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 09:10:00.000,9d6346b1-3cdf-4c38-a1fd-6582c816b489,
11296,4,1,20,2022-07-18 08:42:00.000,,,2022-07-18 08:43:55.953,2022-07-18 08:43:55.953,21,1.6111112,18.2,1.06,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 08:43:00.000,59d82cff-3b4e-400b-9b6f-5a103315c5e9,
41481,4,0,68,2022-07-18 09:05:00.000,,,2022-07-18 09:05:59.691,2022-07-18 09:05:09.885,68,1.2704575,52.700012,2.8999987,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 09:06:00.000,32531353-2a55-4022-b87f-5f9e04dcb6f7,
56021,4,0,109,2022-07-18 10:55:00.000,,,2022-07-18 10:56:30.861,2022-07-18 10:56:30.861,109,1.5833334,88.7,4.61,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 10:56:00.000,d4f232df-f587-4690-93d5-c3ccee53323a,
57984,4,0,118,2022-07-18 07:46:00.000,,,2022-07-18 07:47:05.669,2022-07-18 07:46:00.222,118,1.6055988,93.09999,4.65,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:47:00.000,8306d5bc-57e7-456e-a659-1003b9090cd4,
29366,4,0,50,2022-07-18 12:58:00.000,,,2022-07-18 13:01:31.540,2022-07-18 13:01:31.540,50,1.3055556,38.34,1.94,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 12:59:00.000,4c858129-e384-420c-b316-d78b3dadbba6,
14337,4,0,29,2022-07-18 09:12:00.000,,,2022-07-18 09:13:42.675,2022-07-18 09:13:42.675,29,1.6111112,23.1,1.1,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 09:13:00.000,784a647b-3e83-4672-ae2a-d8190b2f08bc,
60000,4,0,110,2022-07-18 08:37:00.000,,,2022-07-18 08:37:59.380,2022-07-18 08:37:00.126,110,1.4299988,85.79993,4.399997,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 08:38:00.000,6c19856b-8d33-47ec-92e6-0269462b2b51,
16331,4,3,29,2022-07-18 08:35:00.000,,,2022-07-18 08:35:59.827,2022-07-18 08:35:40.755,32,1.630632,26.63,1.5199999,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 08:36:00.000,66182e68-fb99-49e0-b3bf-ed9185104267,
58143,4,0,113,2022-07-18 12:59:00.000,,,2022-07-18 13:01:31.716,2022-07-18 13:01:31.716,113,1.5277778,88.83,4.52,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 13:00:00.000,52c9f786-ccfb-4523-bfb2-60f6b1568e5b,
15176,4,0,28,2022-07-18 14:14:00.000,,,2022-07-18 14:15:01.106,2022-07-18 14:15:01.106,28,1.4166666,21.5,1.06,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 14:15:00.000,a0e37f8b-6321-492d-8a36-727551ce1b37,
23090,4,0,44,2022-07-18 08:41:00.000,,,2022-07-18 08:43:55.877,2022-07-18 08:41:00.207,44,1.4733121,34.019997,1.6700001,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 08:42:00.000,366f812e-c8d1-46aa-a039-100f9c82757d,
46141,4,13,87,2022-07-18 14:15:00.000,,,2022-07-18 14:17:02.714,2022-07-18 14:15:36.225,100,1.8120376,83.610016,4.429999,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 14:16:00.000,f2dd5e70-fc17-47e1-82fe-594113dbd460,
51429,4,0,103,2022-07-18 09:04:00.000,,,2022-07-18 09:05:09.817,2022-07-18 09:05:09.817,103,1.5833334,81.43,3.92,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 09:05:00.000,7b29bfd0-67f5-48fb-a4be-4d8ca654443d,
15697,4,0,32,2022-07-18 14:22:00.000,,,2022-07-18 14:28:31.951,2022-07-18 14:28:31.951,32,1.6111112,25.29,1.25,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 14:23:00.000,2627a9a9-d301-4541-9f42-9a2c256d30a4,
27085,4,0,59,2022-07-18 14:25:00.000,,,2022-07-18 14:28:32.078,2022-07-18 14:28:32.078,59,1.75,47.4,2.27,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 14:26:00.000,4b1eef3a-80a9-4971-a409-464578b530b3,
44936,4,0,76,2022-07-18 09:11:00.000,,,2022-07-18 09:13:42.583,2022-07-18 09:11:00.272,76,1.2855802,57.77,3.019999,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 09:12:00.000,d6796503-63a5-46ae-a58d-9ca1de1b3cfb,
59924,4,0,123,2022-07-18 14:51:00.000,,,2022-07-18 14:53:45.850,2022-07-18 14:53:45.850,123,1.6388888,98.21,4.92,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 14:52:00.000,5f3400e4-7dc0-4f6b-94f3-c06124c28701,
57271,4,0,116,2022-07-18 14:52:00.000,,,2022-07-18 14:53:45.983,2022-07-18 14:53:45.983,116,1.6111112,92.27,4.63,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 14:53:00.000,43afd854-780f-4025-8f63-887cb5844e36,
56232,4,0,104,2022-07-18 14:57:00.000,,,2022-07-18 14:59:19.744,2022-07-18 14:57:00.251,104,1.4271194,80.250015,4.109999,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 14:58:00.000,3746e12f-b200-496f-859c-0e898c3fd1b3,
4835,4,0,12,2022-07-18 12:18:00.000,,,2022-07-18 12:18:56.809,2022-07-18 12:18:56.809,12,2.0555556,9.94,0.4,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 12:19:00.000,b85d2fb6-fcab-4ec3-bf4d-406bd8b7719d,
58860,4,0,113,2022-07-18 14:58:00.000,,,2022-07-18 14:59:19.861,2022-07-18 14:59:19.861,113,1.5,88.29,4.48,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 14:59:00.000,10e81331-6cde-498e-a5a7-1ee3157b798e,
56843,4,0,117,2022-07-18 13:00:00.000,,,2022-07-18 13:01:31.921,2022-07-18 13:01:31.921,117,1.6388888,93.16,4.66,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 13:01:00.000,50033044-b349-47aa-a66d-08f5fd1ea8de,
