com.samsung.shealth.exercise.weather,6221053,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2022-01-29 14:06:47.044,36.922916,,SSE. 150,Partly Cloudy,0,1,TWC,2022-01-29 14:06:47.046,2022-01-29 14:06:47.046,1,30.683573,12.0,34,UTC+0300,e7FCb+MfnB,b8cb7fdb-180a-4f18-844a-f20f2324a4f9,com.sec.android.app.shealth,km/h,0,5.0,2,4f0cffb4-8d30-4ac7-8621-e5599ec1146e,
,0,2022-01-29 12:26:23.658,36.922962,,SSE. 160,Partly Cloudy,0,1,TWC,2022-01-29 12:26:23.660,2022-01-29 12:26:23.660,1,30.683626,13.0,27,UTC+0300,e7FCb+MfnB,645ee3b6-bf48-48cb-9e43-0e68141035e9,com.sec.android.app.shealth,km/h,0,2.0,2,d40b574c-ea5b-4831-8893-554a2c2e5e38,
,0,2022-02-06 14:34:52.915,36.9229,,SSE. 160,Partly Cloudy,0,1,TWC,2022-02-06 14:34:52.917,2022-02-06 14:34:52.917,1,30.68364,14.0,45,UTC+0300,e7FCb+MfnB,8b6be628-2c21-4828-b055-dd436e75d8b6,com.sec.android.app.shealth,km/h,0,3.0,2,0e4bf083-825f-4726-8df2-8453a92f8081,
,0,2022-02-01 09:51:41.659,36.92288,,ESE. 120,Partly Cloudy,0,1,TWC,2022-02-01 09:51:41.661,2022-02-01 09:51:41.661,1,30.683586,12.0,53,UTC+0300,e7FCb+MfnB,8e65d09e-5ba3-4322-bef6-f43fea176fd7,com.sec.android.app.shealth,km/h,0,3.0,2,9858afdf-a594-450b-8401-f70a193d1554,
,0,2022-02-11 13:24:19.127,36.851353,,S. 190,Fair,0,1,TWC,2022-02-11 13:24:19.130,2022-02-11 13:24:19.130,1,30.780163,16.0,43,UTC+0300,e7FCb+MfnB,aba82771-6b80-4394-9022-17ac3596e1fb,com.sec.android.app.shealth,km/h,0,14.0,1,86405b87-2999-4196-9f85-651634ef1d01,
,0,2022-02-09 13:18:12.268,36.92293,,NNW. 340,Mostly Cloudy,0,1,TWC,2022-02-09 13:18:12.271,2022-02-09 13:18:12.271,1,30.683516,13.0,34,UTC+0300,e7FCb+MfnB,2aea5782-fd03-477d-8c94-8f781e06823a,com.sec.android.app.shealth,km/h,0,8.0,3,dfd784f8-5024-4d29-b098-135cf18502e0,
,0,2022-02-12 14:27:39.255,36.892242,,SSE. 150,Fair,0,1,TWC,2022-02-12 14:27:39.258,2022-02-12 14:27:39.258,1,30.699022,16.0,55,UTC+0300,e7FCb+MfnB,a9be59e5-e11e-4437-ac64-126bb64df4cb,com.sec.android.app.shealth,km/h,0,5.0,1,9620a9e8-5451-4cae-b85e-df254aa8be13,
,0,2022-01-31 14:56:22.535,36.922955,,N. 0,Partly Cloudy,0,1,TWC,2022-01-31 14:56:22.538,2022-01-31 14:56:22.538,1,30.683455,11.0,54,UTC+0300,e7FCb+MfnB,802e88c7-674b-4a95-88a7-d7efb30b4ba5,com.sec.android.app.shealth,km/h,0,3.0,2,89b5bd9c-e08b-4a6e-a22c-fec5e5b5ad7d,
,0,2022-02-12 11:43:17.571,36.88565,,SSE. 160,Fair,0,1,TWC,2022-02-12 11:43:17.578,2022-02-12 11:43:17.578,1,30.674917,17.0,47,UTC+0300,e7FCb+MfnB,274f17a8-aea1-4e75-be81-a143e2f6757c,com.sec.android.app.shealth,km/h,0,5.0,1,e35bfbd4-c12e-4167-b0d6-3f34e82a3f53,
,0,2022-02-15 10:00:20.731,36.922928,,N. 0,Fair,0,1,TWC,2022-02-15 10:00:20.732,2022-02-15 10:00:20.732,1,30.683672,17.0,28,UTC+0300,e7FCb+MfnB,85ed78d6-60fc-4898-a97b-39c674ec4260,com.sec.android.app.shealth,km/h,0,3.0,1,0ca72f12-70eb-445c-94e3-ea9a968e03fa,
,0,2022-02-13 10:40:45.529,36.871357,,SSE. 160,Fair,0,1,TWC,2022-02-13 10:40:45.531,2022-02-13 10:40:45.531,1,30.633099,17.0,49,UTC+0300,e7FCb+MfnB,0ae08497-70dc-410d-92d4-af838b5b5e3f,com.sec.android.app.shealth,km/h,0,3.0,1,a39a5d94-a8e7-4065-91a7-5bf16f1235cd,
,0,2022-02-20 10:57:32.212,36.92285,,S. 180,Fair,0,1,TWC,2022-02-20 10:57:32.214,2022-02-20 10:57:32.214,1,30.683544,18.0,35,UTC+0300,e7FCb+MfnB,89624139-a44e-4dbc-a519-761d76e49905,com.sec.android.app.shealth,km/h,0,3.0,1,c3daf5e9-75fc-4cb9-88b3-3e8d5375aa3f,
,0,2022-02-07 12:43:25.477,36.92286,,S. 170,Partly Cloudy,0,1,TWC,2022-02-07 12:43:25.478,2022-02-07 12:43:25.478,1,30.683647,16.0,37,UTC+0300,e7FCb+MfnB,d079607e-58b7-4088-aef6-ccd94a05081c,com.sec.android.app.shealth,km/h,0,3.0,2,0526f89a-9b42-4145-9b7a-3e7fef76c2ef,
,0,2022-02-15 13:01:34.239,36.862606,,S. 180,Fair,0,1,TWC,2022-02-15 13:01:34.242,2022-02-15 13:01:34.242,1,30.636114,17.0,35,UTC+0300,e7FCb+MfnB,fa8e4216-736e-4849-8949-89e5fb354529,com.sec.android.app.shealth,km/h,0,3.0,1,44b8cc6f-8a83-4fed-8d04-26b80f09a42f,
,0,2022-03-07 10:41:33.713,41.086704,,NW. 310,Mostly Cloudy,0,1,TWC,2022-03-07 10:41:33.723,2022-03-07 10:41:33.723,1,29.043816,6.0,83,UTC+0300,e7FCb+MfnB,b60509bc-6f25-4958-8877-7dfdb6f28791,com.sec.android.app.shealth,km/h,0,2.0,3,30555bbc-5f20-47f4-9320-a1fbc7754459,
,0,2022-02-21 11:28:39.398,36.922535,,SSE. 160,Mostly Cloudy,0,1,TWC,2022-02-21 11:28:39.401,2022-02-21 11:28:39.401,1,30.683863,18.0,55,UTC+0300,e7FCb+MfnB,cda581e9-d5f5-46bd-bee9-ff00f905c662,com.sec.android.app.shealth,km/h,0,2.0,3,1276506c-7847-4672-9815-ca7227a4fa0a,
,0,2022-04-09 13:53:39.489,41.075222,,SSW. 200,Fair,0,1,TWC,2022-04-09 13:53:39.495,2022-04-09 13:53:39.495,1,29.017946,24.0,32,UTC+0300,e7FCb+MfnB,3c2948b1-c2d0-4493-97bc-3d852c18786e,com.sec.android.app.shealth,km/h,0,13.0,1,bec79137-d21e-465c-8a2b-69e434e0eef6,
